"Subj","Gender","Age","SES","Siblings","Numeracy","SOEP","SOEPdrive","SOEPfinance","SOEPhealth","SOEPoccup","SOEPrecreat","SOEPsocial","WMC","BartPumps","HoltRisk","LottRisk","LottEV","Concentration","Tiredness","Motivation","Happy","Angry","Sad","Afraid","SOEPMeans","Positive","Negative","RiskPreferences","AngryRecoded","SadRecoded","AfraidRecoded","Affect","LottRiskZScore","LottEVZScore","BartPumpsZScore"
68037901,1,23,3,1,0,9,6,2,5,9,9,6,0.779424603174603,32.53,4,0.44,0.64,31,70,59,59,0,0,0,6.16666666666667,59,0,-0.533654080589298,100,100,100,89.75,-0.310785827893948,-0.919595172386149,-0.370581241487797
64169101,1,22,6,1,3,4,3,1,4,4,7,8,0.836934523809524,44.33,6,0.5,0.86,71,59,66,74,16,21,20,4.5,70,19,0.814822853337371,84,79,80,79.25,0.574363681930587,1.13641029433085,0.733694583750677
68049201,2,26,3,3,0,9,5,1,9,10,9,6,0.712083333333333,44.93,3,0.44,0.78,77,45,89,85,12,17,16,6.66666666666667,87,15,0.28927677229553,88,83,84,85,-0.310785827893948,0.388771942797396,0.789844201983142
68044801,2,23,7,2,3,5,4,1,9,6,2,3,0.956736111111111,40.9,6,0.54,0.96,37,56,88,58,11,50,69,4.16666666666667,73,43.3333333333333,1.2160425072499,89,50,31,57,1.16446335514694,2.07095823374767,0.412705932855086
64204701,1,28,2,0,0,9,9,8,7,8,9,5,0.772589285714286,50.9,7,0.6,0.78,90,74,79,70,20,31,21,7.66666666666667,74.5,24,1.26230590372168,80,69,79,74.5,2.04961286497148,0.388771942797396,1.34853290339617
68028101,2,27,3,2,0,8,2,4,6,9,5,7,NA,64.03,5,0.42,0.54,50,60,79,60,28,40,44,5.5,69.5,37.3333333333333,0.0390983131371706,72,60,56,62,-0.605835664502127,-1.85414311180297,2.57727371571661
68021401,2,21,3,3,2,9,8,6,7,8,8,2,0.761785714285714,22.34,3,0.6,0.74,70,60,90,89,69,20,9,6.5,89.5,32.6666666666667,0.24679223584433,31,80,91,72.75,2.04961286497148,0.0149527670306685,-1.32418892446916
68039001,2,27,3,1,2,6,3,2,1,4,1,6,0.724831349206349,39.73,6,0.46,0.92,71,20,81,81,21,41,58,2.83333333333333,81,40,0.661539081332317,79,59,42,65.25,-0.0157359912857694,1.69713905798094,0.30321417730178
68027301,1,22,4,1,1,5,5,1,8,6,7,4,0.885367063492063,21.23,4,0.42,0.7,89,90,59,70,0,20,30,5.16666666666667,64.5,16.6666666666667,-0.797589263812468,100,80,70,80,-0.605835664502127,-0.358866408736059,-1.42806571819922
64020401,2,26,3,1,2,7,1,2,3,4,7,5,0.722083333333334,50.03,3,0.42,0.9,37,69,75,81,18,16,24,3.66666666666667,78,19.3333333333333,0.723836587518181,82,84,76,80.75,-0.605835664502127,1.51022947009758,1.26711595695909
68015601,2,21,3,2,2,7,3,3,2,2,5,2,0.859037698412698,42.07,6,0.46,0.8,59,30,69,89,21,30,60,2.83333333333333,79,37,0.360714409267794,79,70,40,69.5,-0.0157359912857694,0.57568153068076,0.522197688408393
64202501,1,21,6,3,0,9,8,7,8,5,5,7,0.800248015873016,15.4,4,0.44,0.66,71,65,85,70,21,36,60,6.66666666666667,77.5,39,-1.00570808480713,79,64,40,63.25,-0.310785827893948,-0.732685584502785,-1.97365284202467
68029701,1,25,3,1,0,8,1,5,5,8,6,7,0.627440476190476,48.83,4,0.52,0.74,79,60,80,60,59,59,19,5.33333333333333,70,45.6666666666667,0.679727668687866,41,41,81,55.75,0.869413518538766,0.0149527670306685,1.15481672049416
64116901,1,22,5,2,2,7,3,7,8,5,10,10,0.578194444444444,42.2,3,0.44,0.74,87,10,90,95,10,0,21,7.16666666666667,92.5,10.3333333333333,0.0795101260540493,90,100,79,91,-0.310785827893948,0.0149527670306685,0.534363439025427
64125001,1,22,3,1,2,8,9,7,8,6,8,9,0.745039682539682,39.3,5,0.54,0.78,76,45,86,75,10,22,76,7.83333333333333,80.5,36,0.605402971837618,90,78,24,66.75,1.16446335514694,0.388771942797396,0.262973617568514
68032101,2,25,5,1,2,9,6,8,4,4,8,7,0.718392857142857,36.4,3,0.42,0.76,100,7,100,88,6,11,16,6.16666666666667,94,11,-0.137463171158831,94,89,84,88.75,-0.605835664502127,0.201862354914032,-0.00841620388839956
64130201,1,26,4,1,2,5,1,1,6,5,1,9,0.756765873015873,34.3,4,0.44,0.56,73,38,80,85,6,24,12,3.83333333333333,82.5,14,-0.727653073171859,94,76,88,85.75,-0.310785827893948,-1.6672335239196,-0.204939867702027
64185101,1,24,3,1,0,3,3,3,2,6,7,1,0.657142857142857,35.13,3,0.48,0.76,91,0,100,100,0,0,0,3.66666666666667,100,0,0.117969990363108,100,100,100,100,0.279313845322408,0.201862354914032,-0.127266229147116
64070201,1,27,3,1,2,7,2,2,7,8,7,8,0.695357142857143,27.77,1,0.48,0.76,70,11,70,89,20,7,20,5.66666666666667,79.5,15.6666666666667,-0.11161955974297,80,93,80,85.5,0.279313845322408,0.201862354914032,-0.816034879465352
68047601,1,24,4,1,3,7,3,3,3,4,7,8,0.526031746031746,40.6,3,0.4,0.78,72,59,69,88,18,18,34,4.66666666666667,78.5,23.3333333333333,-0.0424941448580181,82,82,66,79.5,-0.900885501110305,0.388771942797396,0.384631123738854
68019301,2,25,4,3,3,5,7,4,10,5,8,6,0.769146825396825,46.6,3,0.52,0.72,100,20,80,95,9,0,11,6.66666666666667,87.5,6.66666666666667,0.547861334583191,91,100,89,93.75,0.869413518538766,-0.171956820852695,0.946127306063502
68017901,2,22,6,0,1,9,11,7,9,8,9,9,0.807837301587301,45.7,4,0.46,0.94,60,31,85,49,38,49,66,8.83333333333333,67,51,0.910071844431113,62,51,34,49,-0.0157359912857694,1.8840486458643,0.861902878714805
